season,as_of_date,ranking_type,scoring_profile,league_size,position,position_rank,tier_number,tier_rank,tier_size,tier_value_multiplier,player_id,player_name,player_slug,team,bye_week,age,experience,adp_round_pick,adp_overall,risk_score,upside_score,tags,is_my_guy,is_value,is_bust,is_sleeper,is_rookie,is_injury_concern,is_breakout,source_page,source_cheatsheet_id,source_url
2026,2026-08-31,redraft,The Fear Boners,12,RB,32,8,7,14,0.5,21691,Chuba Hubbard,chuba-hubbard,CAR,5,,6,7.06,78.1,6.7,5.2,bust|injured,0,0,1,0,0,1,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,RB,33,8,8,14,0.5,20912,Tony Pollard,tony-pollard,TEN,9,,8,8.01,84.6,5.6,5.9,,0,0,0,0,0,0,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,RB,34,8,9,14,0.5,21674,J.K. Dobbins,jk-dobbins,DEN,10,,7,8.08,92,7.5,6.2,value|injured,0,1,0,0,0,1,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,RB,35,8,10,14,0.5,24944,Jonathon Brooks,jonathon-brooks,CAR,5,,3,9.08,104.1,7.2,6,sleeper,0,0,0,1,0,0,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,RB,36,8,11,14,0.5,25952,Kyle Monangai,kyle-monangai,CHI,10,,2,9.05,101.1,5.8,5.7,injured,0,0,0,0,0,1,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,RB,37,8,12,14,0.5,23364,Jordan Mason,jordan-mason,MIN,6,,5,10.03,111.4,4,6.4,sleeper,0,0,0,1,0,0,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,RB,38,8,13,14,0.5,23217,Rachaad White,rachaad-white,WAS,7,,5,12.01,133,4.6,5.6,,0,0,0,0,0,0,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,RB,39,8,14,14,0.5,24116,Blake Corum,blake-corum,LAR,11,,3,9.06,102.2,4.6,6.8,sleeper,0,0,0,1,0,0,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,RB,40,9,1,6,0.38,25944,RJ Harvey,rj-harvey,DEN,10,,2,7.07,79.3,6.2,5.5,bust|injured,0,0,1,0,0,1,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,RB,41,9,2,6,0.38,19045,Aaron Jones Sr.,aaron-jones,MIN,6,,10,11.05,125.1,4.3,5.3,,0,0,0,0,0,0,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,RB,42,9,3,6,0.38,24123,Tyjae Spears,tyjae-spears,TEN,9,,4,14.10,165.7,4.6,4.7,,0,0,0,0,0,0,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
